,lemma,headline,definition,detail,href
50,أصبع,Noun,"key (computer, piano etc.)",,/wiki/%D8%A3%D8%B5%D8%A8%D8%B9
51,أصبع,Noun,tube,,/wiki/%D8%A3%D8%B5%D8%A8%D8%B9
52,أصفر,Adjective,yellow,,/wiki/%D8%A3%D8%B5%D9%81%D8%B1
53,أضفر,Noun,(anatomy) nail,,/wiki/%D8%A3%D8%B6%D9%81%D8%B1
54,أعلى,Adjective,"elative degree of عالي‎ (ʕāli): higher, highest, maximum","الحدّ الأعلى للسرعة ستّين كيلومتر بالساعة.
il-ḥadd il-ʔaʕla las-surʕa sittīn kīlomitr bis-sāʕa
The maximum speed limit is sixty kilometers per hour.",/wiki/%D8%A3%D8%B9%D9%84%D9%89
55,أعلى,Adjective,(in places names) upper,"الجليل الأعلى
il-jalīl il-ʔaʕla
Upper Galilee
الناصرة العليا
in-nāṣre l-ʕulya
Upper Nazareth",/wiki/%D8%A3%D8%B9%D9%84%D9%89
56,أغلب,Noun,most (the majority of),,/wiki/%D8%A3%D8%BA%D9%84%D8%A8
57,أغلب,Noun,(by extension) the most likely scenario,"همّه الأغلب بتأخّرو، لإنّه فيه أزمة كتير بالطريق من نابلس.
homme il-ʔaḡlab bitʔaḵḵru, laʔinno fīh ʔazme ktīr biṭ-ṭarīʔ min Nāblis.
They will (the) most likely be late, because there's a lot on traffic on the way from Nablus.",/wiki/%D8%A3%D8%BA%D9%84%D8%A8
58,أفكار,Noun,"plural of فكرة‎ (fikra, “(a single) idea, thought”)",,/wiki/%D8%A3%D9%81%D9%83%D8%A7%D8%B1
59,أفكار,Noun,"plural of فكر‎ (fikr, “idea, thought, notion, belief”): way of thinking, ideology","كلّ اللي أخدو أفكار الشيوعية تخيّب أملهم في النهاية.
kull illi ʔaḵadu ʔafkār ash-shi’uiyye tḵayyab ʔamalhom fin-nihāye
All those who embraced the ideas of socialism were disappointed in the end.",/wiki/%D8%A3%D9%81%D9%83%D8%A7%D8%B1
60,أقصى,Adjective,"farther, farthest, most distant",,/wiki/%D8%A3%D9%82%D8%B5%D9%89
61,أقصى,Adjective,maximal,"الحدّ الأقصى
il-ḥadd il-ʔaqṣa
the maximum",/wiki/%D8%A3%D9%82%D8%B5%D9%89
62,أكتر,Adjective,"elative degree of كتير‎ (ktīr): more, most",,/wiki/%D8%A3%D9%83%D8%AA%D8%B1
63,أكتر,Adjective,"more, -er; most, -est (used to form elatives of adjectives, that don't have one.)","مجنون أكتر
majnūn ʔaktar
crazier
أكتر واحد مجنون
ʔaktar wāhad majnūn
the craziest one",/wiki/%D8%A3%D9%83%D8%AA%D8%B1
64,أكتر,Adverb,"elative degree of كتير‎ (ktīr): more, most","أكتر إشي حبيته
ʔaktar ʔiši ḥabbēto
the thing I liked the most",/wiki/%D8%A3%D9%83%D8%AA%D8%B1
65,أكل,Verb,to eat,"لقیت الفار ماكل الجبنة.
laʔēt il-fār mākel il-jibne
I found the mouse had eaten the cheese.",/wiki/%D8%A3%D9%83%D9%84
66,أكل,Noun,food,,/wiki/%D8%A3%D9%83%D9%84
67,أكل,Noun,eating,,/wiki/%D8%A3%D9%83%D9%84
68,أكم,Determiner,how many (+ من‎),"أكم من بيضة بدك أعمللك؟
ʔakam min bēḍa biddak ʔaʕmel-lak?
How many eggs do you want me to cook for you?",/wiki/%D8%A3%D9%83%D9%85
69,أكم,Determiner,"a few, some, several (+ من‎)","قلتلّه أكم من مرّة، بس هو ما بوخد كلامي صحّ.
ʔoltillo ʔakam min marra, bas huwwe ma bōḵed kalāmi ṣaḥḥ.
I told him a few times, but he doesn't take me seriously at my word.",/wiki/%D8%A3%D9%83%D9%85
70,أكّد,Verb,"(transitive) to confirm, to ensure","لسّا ما أكّدو الأخبار.
lissa ma ʔakkadu l-ʔaḵbār.
They haven't confirmed the news yet.
لازم نأكّد ولادنا إنّه ما يحطّو تمّهم على أي إشي بمكان عامّ.
lāzem nʔakked ūlādna ʔinno mā yḥoṭṭu timmhom ʕala ʔayy ʔiši bi-makān ʕamm.
We must ensure that our children not put their mouth on anything in a public place.",
71,ألهى,Verb,to distract (from (+ عن‎)),"ما رح ألهيك عن شغلك اليوم.
mā raḥ ʔalhīk ʕan šuḡlak il-yōm
I won't distract you from your work today.",/wiki/%D8%A3%D9%84%D9%87%D9%89
72,أم,Noun,Alternative form of إم‎ (ʔimm),"اللغة الأم
il-luḡa il-ʔumm
native language, mother tongue",/wiki/%D8%A3%D9%85
73,أما,Conjunction,"whereas, as for, but","ألف شيكل ممكن اعطيك — أمّا ألفين، هلا والله ما بقدر.
ʔalf šēkel mumken aʕṭīk, ʔamma ʔalfēn halla walla mā baʔdar.
I can give you a thousand shekels — as for two thousand, I really can't right now.
كل هادا، معليش — أمّا يكذب علي كمان؟
kull hāda, maʕlēš — ʔamma yikzeb ʕalay kamān?
All of this is fine — but that he should lie to me too?",/wiki/%D8%A3%D9%85%D8%A7
74,أما,Conjunction,used to indicate surprise or other strong feelings in an exclamation,"دخلنا جول — أمّا شو جول!
daḵalna gōl — ʔamma šū gōl!
We scored a goal — what a goal!",/wiki/%D8%A3%D9%85%D8%A7
75,أمّن,Verb,"to insure, to secure, to safeguard","سيّارتك مأمّنة؟
sayyārtak mʔammane?
Is your car insured?",
76,أنعم,Verb,"(formal) to confer favour, to bestow favour","الله ينعم عليك!
ʔaḷḷa yinʕim ʕalēk!
May Good give you pleasure! (response to نعيما‎ (naʕīman))",/wiki/%D8%A3%D9%86%D8%B9%D9%85
77,أنعم,Adjective,elative degree of ناعم‎ (nāʕem): softer,,/wiki/%D8%A3%D9%86%D8%B9%D9%85
78,أهان,Verb,"to insult, to offend","ما كنت بدي اهينك.
ma kunt biddī ʔahīnak
I didn't want to offend you.",/wiki/%D8%A3%D9%87%D8%A7%D9%86
79,أو,Conjunction,or,,/wiki/%D8%A3%D9%88
80,أو,Conjunction,"or (mutually exclusive, when used together with إما‎ (ʔimma))","إما بتدفع كاش أو بالكرت.
ʔimma btidfaʕ kāš ʔaw bil-kart
Either you pay cash or by card.",/wiki/%D8%A3%D9%88
81,أوضة,Noun,room,,/wiki/%D8%A3%D9%88%D8%B6%D8%A9
82,أوضة,Noun,room,"أوضة النوم
ʔōḍt in-nōm
bedroom
أوضة الصفرة
ʔōḍt iṣ-ṣufra
dining room",/wiki/%D8%A3%D9%88%D8%B6%D8%A9
83,أول,Adjective,first,"كيف كان أوّل يوم مدرسة؟
kīf kān ʔawwal yōm madrase
How was the first day of school?",/wiki/%D8%A3%D9%88%D9%84
84,أول,Adjective,(+ ما‎) as soon as,,/wiki/%D8%A3%D9%88%D9%84
85,أول,Noun,"beginning, start",,/wiki/%D8%A3%D9%88%D9%84
86,أيّام,Noun,"plural of يوم‎ (yōm, “day”)",,
87,أَكْزَخَانة,Noun,pharmacy,"بقى عنده أكزخانة يشتغل فيها.
baʔa ʕindo ʔakzaḵāne yištḡel fīha.",
88,إجا,Verb,to come,,/wiki/%D8%A5%D8%AC%D8%A7
89,إجا,Verb,to arrive,,/wiki/%D8%A5%D8%AC%D8%A7
90,إجا,Verb,to come,"فيه حدا جاي غيري؟
fīh ḥada jāy ḡēri
Is anyone coming aside from me?
هو دايمًا بيجي عالوقت المناسب.
huwwe dāyman bīji ʕal-waʔt li-mnāseb
He always comes at the appropriate time.
إجى الجيش بقوّة عيسكريّة كبيرة.
ʔija l-jēš bi-ʔuwwa ʕaskariyye kbīre
The army came with a lot of (lit. big) military power.
إجت شويّة قهوة على قميصي.
ʔijat šwayyet ʔahwe ʕala ʔamīṣti
A little coffee got on (lit. came to) my shirt.
تعال عندي (لعندي) نحكي شويّ عن الموضوع.
taʕāl ʕindi (la-ʕindi) niḥki šwayy ʕan il-mōḍūʕ
Come over to my place to talk a bit about the issue.",/wiki/%D8%A5%D8%AC%D8%A7
91,إجا,Verb,(by extension) to arrive,"من أوّل ما إجيت وإنتي بتحطّي مكياج.
min ʔawwal mā ʔijīt w ʔinti bitḥoṭṭi mikyāj
You've been putting on makeup from the moment I arrived.
Since as soon as I arrived you're putting makeup.",/wiki/%D8%A5%D8%AC%D8%A7
92,إجا,Verb,"(+ ل‎) to come up to, to approach","إجتلي وطلبت منّي أعملّها معروف.
ʔijat-li w-ṭalbat minni ʔaʕmil-lha maʕrūf
She came up to me and asked me to do her a favor.",/wiki/%D8%A5%D8%AC%D8%A7
93,إجا,Verb,"(by extension) to get, to receive (with recipient as direct object)","إجاني كتير تلفونات من عيلتي اليوم.
ʔijāni ktīr telefōnāt min ʕēlti l-yōm
I got a lot of calls from my family today.
إجتني فرصة أروح أدرس طبّ في بريطانيا.
ʔijatni furṣa ʔarūḥ ʔadros ṭibb fi brīṭānya
I got an opportunity to go study medicine in the UK.",/wiki/%D8%A5%D8%AC%D8%A7
94,إجا,Verb,(by extension) (+ في‎) to fit (in a space),"ولا يمكن هالخزانة تيجي بالغرفة.
wala yumken hāl-ḵazāne tīji bil-ḡorfe
There's no way this wardrobe will fit in the room.",/wiki/%D8%A5%D8%AC%D8%A7
95,إجا,Verb,(by extension) (+ على‎) to fit (of clothes),"للأسف البنطلون ما بيجي علي (على قدّي) منيح.
lil-ʔasaf il-banṭalōn ma bīji ʕalay (ʕala ʔaddi) mnīḥ
Unfortunately the pants don't fit me well.",/wiki/%D8%A5%D8%AC%D8%A7
96,إجا عالوجع,Phrase,"to come right on time, with perfect timing, etc.","مبارح جوزي فاجأني بسفرة عاليونان — عن جد إجا عالوجع․
mbāreḥ jōzi fājaʔni bi-safra ʕal-yūnān — ʕan jadd ʔija ʕal-wajaʕ
Yesterday my husband surprised me with a trip to Greece — it really came right on time.",/wiki/%D8%A5%D8%AC%D8%A7_%D8%B9%D8%A7%D9%84%D9%88%D8%AC%D8%B9
97,إجا يكحّلها عماها,Phrase,to make matters worse,"عشان أوفّر مصاري، جبت صاحبي يصلّحلي التلّاجة — بس إجا يكحّلها عماها․
ʕašān ʔawaffer maṣāri jibt ṣāhbi yṣalleḥ-li it-tallāje bas ʔija ykaḥḥelha ʕamāha
To save money, I brought my friend to fix the fridge for me — but he only made matters worse.",
98,إذا,Conjunction,"if, whether","إسأله إذا المدير موجود.
ʔisʔalo ʔiza l-mudīr mawjūd
Ask him if the manager is there.
ما بعرف إذا برجع ولّا لأ.
ma baʕref ʔiza birjaʕ willa laʔ
I don't know whether he's coming back or not.
إذا رجع بكير، بقلّك.
ʔiza rijeʕ bakkīr, baʔul-lak
If he gets back early, I'll tell you.",/wiki/%D8%A5%D8%B0%D8%A7
99,إذا,Adverb,"so, then, therefore",,/wiki/%D8%A5%D8%B0%D8%A7
100,إذن,Noun,permission,"أخدت إذن من أهلك عشان تروح على هالرحلة؟
ʔaḵadt ʔizn ʕašān trūḥ ʕala hār-riḥle
Did you get permission from your parents to go on the trip?",/wiki/%D8%A5%D8%B0%D9%86
101,إسلام,Noun,Islam,,/wiki/%D8%A5%D8%B3%D9%84%D8%A7%D9%85
102,إسلام,Noun,Muslims (collective),"الإسلام بصومو في شهر رمضان.
il-ʔislām biṣūmu fi šahr ramaḍān.
Muslims fast in the month of Ramadan.",/wiki/%D8%A5%D8%B3%D9%84%D8%A7%D9%85
103,إشي,Noun,thing,,/wiki/%D8%A5%D8%B4%D9%8A
104,إشي,Pronoun,something; anything,,/wiki/%D8%A5%D8%B4%D9%8A
105,إشي,Pronoun,some (... some),"إشي ضلّو، إشي راحو
ʔiši ḍallu, ʔiši rāḥu
Some stayed, some left",/wiki/%D8%A5%D8%B4%D9%8A
106,إلـ,Preposition,"to; for (detached version of the indirect object suffix ـلـ‎ (-l-), used for emphasis)","كتب إلي، مش إلك.
katab ʔili, miš ʔilak.
He wrote to me, not to you.",
107,إلـ,Preposition,"belonging to (mine, yours etc.)","هالكتاب إلك.
hāl-kitāb ʔilak
This book is yours.
هو صاحب إله.
huwwe ṣāḥeb ʔilo
He's a friend of his.",
108,إلـ,Preposition,(by extension) to have,"إلي أخ وأخت.
ʔili ʔaḵḵ w-ʔuẖt
I have a brother and sister.
Mine are a brother and a sister.",
109,إلّا,Conjunction,"unless, if not",,
110,إلّا,Conjunction,"(after negation) except, only",,
111,إلّا,Conjunction,(telling time) to,"الساعة خمسة إلا تلت.
is-sāʕa ḵamse ʔilla tult
It's twenty to three.",
112,إلّا,Conjunction,"and there, lo and behold",,
113,إمّا,Conjunction,"either (used together with أو‎ (ʔaw, “or”))","إما بتدفع أجار البيت أو بترحل.
ʔimma btidfaʕ ʔajār il-bēt ʔaw btirḥal
Either you pay the rent or you get out.",
114,إن,Conjunction,if (followed by a past tense verb),"إن جيت بكرة، جيبلي معك جاكيت.
ʔin jīt bukra jīb-li maʕak jākēt
If you come tomorrow, bring me a jacket.
If you come tomorrow, bring for me a jacket with you.",/wiki/%D8%A5%D9%86
115,إنكنّـ,Conjunction,if (followed by a suffix pronoun),"بدي أعرف إنكنه فاضي بكرة.
biddi ʔaʕref ʔinkann-o fāḍi bukra
I wan't to know if he's free tomorrow.",
116,إنّـ,Conjunction,that (followed by a suffix pronoun),,
117,إيد,Noun,hand,"هو دايما بنسى يغسّل إيديه.
huwwe dāyman binsa yḡassel ʔīdēh
He always forgets to wash his hands.",
118,إيد,Noun,arm,,
119,إيد,Noun,(by extension) handle,,
120,احتاج,Verb,"to need, to require","أخيرًا أخدنا الإجازة اللي كننا كتير محتاجينها الصيف الماضي
ʔaḵīran ʔaḵadna il-ʔijāze lli kunna ktīr miḥtājīin-ha iṣ-ṣēf il-māḍi
We finally took the vacation we were really needing last summer.",/wiki/%D8%A7%D8%AD%D8%AA%D8%A7%D8%AC
121,احتياط,Noun,precaution,"خلّينا نعمل نسخة تانية للاحتياط.
ḵallīna niʕmil nusḵa tānye lil-iḥtiyāṭ
Let's make a second copy just in case (lit. for the precaution).
ماما أخدت احتياطها وعملت أكل زيادة بحالة إنّه إجو ناس أكتر.
māmā ʔaḵdat iḥtiyāṭha w-ʕimlat ʔakl zyāde bi-ḥāle ʔinno ʔiju nās aktar
Mom took precautions and made extra food in case more people come.",/wiki/%D8%A7%D8%AD%D8%AA%D9%8A%D8%A7%D8%B7
122,احتياط,Noun,prudence,,/wiki/%D8%A7%D8%AD%D8%AA%D9%8A%D8%A7%D8%B7
123,احتياط,Noun,"precaution, care, caution, wariness",,/wiki/%D8%A7%D8%AD%D8%AA%D9%8A%D8%A7%D8%B7
124,احمرّ,Verb,"to turn red, to redden",,
125,احمرّ,Verb,(by extension) to blush,"هي احمرّت من الخجل.
hiyye iḥmarrat min il-ḵajal
She blushed out of embarrassment.",
126,احمرّ,Verb,(by extension) to get a sunburn,,
127,اختار,Verb,to choose,"تطلّع على كلّ أنواع هالبوظة — مش عارف شو بدّي أختار.
itṭallaʕ ʕala kull ʔanwāʕ hāl-būẓa — miš ʕāref šu biddi ʔaḵtār
Look at all these ice cream flavors — I don't know what to choose.
إذا اخترتو تروحو على هالرحلة هادا إشي برجعلكم.
ʔiza iḵtartu trūḥu ʕala hāl-raḥle hāda ʔiši birjaʕ-ilkom
If you choose to go on the trip, that's up to you.",/wiki/%D8%A7%D8%AE%D8%AA%D8%A7%D8%B1
128,اخترع,Verb,to invent,"اخترعو رمز سرّي يبعتولكم ايّاه أولادكم لمّا يحسّو حالهم بمواقف مش مريحة.
iḵtirʕu ramz sirri yibʕatū-lkom iyyāh ūlādkom lamma yḥessu ḥālhom bi-mawāʔef miš murīḥa
Invent a secret message for your kids to send you when they feel themselves in uncomfortable situations.",/wiki/%D8%A7%D8%AE%D8%AA%D8%B1%D8%B9
129,اختفى,Verb,"to vanish, to disappear","تلفوني كان هون واختفى.
telfōni kān hōn w-iḵtafa.
My phone was here and now it's gone.
My phone was here and it disappeared.",/wiki/%D8%A7%D8%AE%D8%AA%D9%81%D9%89
130,ارتاح,Verb,"to rest, to relax",,/wiki/%D8%A7%D8%B1%D8%AA%D8%A7%D8%AD
131,ارتاح,Verb,to be at ease or comfortable with something,"انا بالمرّة ما ارتحت.
ana bil-marra mā rtaḥt
I wasn't comfortable at all.
خبّرني إذا فيه أي إشي ما ارتحتيله.
ḵabbirni ʔiza fīh ʔayy ʔiši mā rtaḥtīlo
Let me know if there's anything you're not comfortable with.",/wiki/%D8%A7%D8%B1%D8%AA%D8%A7%D8%AD
132,استأجر,Verb,"to rent, to lease","بدّي استأجر غرفة.
biddi staʔjer ḡorfe.
I want to rent a room.",/wiki/%D8%A7%D8%B3%D8%AA%D8%A3%D8%AC%D8%B1
133,استحى,Verb,"to be shy, to be ashamed, to be embarrassed","استحيت أسأله.
istaḥēt asʔalo.
I was embarrassed to ask him.",/wiki/%D8%A7%D8%B3%D8%AA%D8%AD%D9%89
134,استخدم,Verb,to use,"هو مش عارف يستخدم الكمبيوتر.
hū miš ʕāref yistaḵdem il-kambyūter.
He doesn't know how to use the computer.",/wiki/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D9%85
135,استراحة,Noun,"rest, break, intermission","لمّا بدرس للامتحانات، بالعادة باخد استراحة واحدة بس لمدة نصّ ساعة.
lamma badros lil-imtiḥānāt bil-ʕāda bāḵod istirāḥa wāḥde bas la-moddet nuṣṣ sāʕa
When I study for exams, I usually just take one half-hour break.",/wiki/%D8%A7%D8%B3%D8%AA%D8%B1%D8%A7%D8%AD%D8%A9
136,استرخى,Verb,"to slacken, to loosen, to become limp",,/wiki/%D8%A7%D8%B3%D8%AA%D8%B1%D8%AE%D9%89
137,استرخى,Verb,"to relax, to loosen up","بدي أضلّ بالبيت وأسترخي.
biddi ʔaḍall bil-bēt w ʔastarḵi.
I want to stay home and relax.",/wiki/%D8%A7%D8%B3%D8%AA%D8%B1%D8%AE%D9%89
138,استشار,Verb,"to consult, to seek someone's advice","بعد ما استشرت المحامي، قرّرت إنّي ما أستثمر بالمشروع لأنّه القانون ما بضمنلي حقّي.
baʕd mā istašart il-muḥāmi qarrart ʔinni mā ʔastaṯmer bil-mašrūʕ laʔinno il-qānūn mā biḍman-li haʔʔi
After I consulted the attorney, I decided not to invest in the project, because the law doesn't guarantee my rights.",/wiki/%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1
139,استعار,Verb,to borrow,"استعرت منّه أكمّن كتاب
istaʕart minno ʕakammin kitāb
I borrowed several books from him.",/wiki/%D8%A7%D8%B3%D8%AA%D8%B9%D8%A7%D8%B1
140,استعمل,Verb,to use,"استعملنا كلّ الطرق.
istaʕmalna kull iṭ-ṭoroʔ.
We employed every method.",/wiki/%D8%A7%D8%B3%D8%AA%D8%B9%D9%85%D9%84
141,استغرب,Verb,"to find (something) weird, strange, odd, unusual, funny","بستغرب منّك كيف بتيجي هون مرّة تانية.
bastaḡreb minnak kīf btījī hōn marra tānye
I can't understand how you could come here again.
I find it strange from you how you come here a second time.",/wiki/%D8%A7%D8%B3%D8%AA%D8%BA%D8%B1%D8%A8
142,استغل,Verb,"to take advantage, to exploit","بيستغلّو العمّال
bistaḡellu il-ʕummāl
They exploit the workers.",/wiki/%D8%A7%D8%B3%D8%AA%D8%BA%D9%84
143,استغنى,Verb,"to do, manage, get along without","بتقدر تستغني عنه؟
btiʔdar tistaḡni ʕano
Can you manage without him?",/wiki/%D8%A7%D8%B3%D8%AA%D8%BA%D9%86%D9%89
144,استفاد,Verb,"to benefit or profit from, to make use of","بصراحة بستفيد كتير من محاضراته.
bi-ṣarāḥa bastafīd ktīr min muḥāḍarāto
Honestly, I get a lot out of his lectures.",/wiki/%D8%A7%D8%B3%D8%AA%D9%81%D8%A7%D8%AF
145,استقبل,Verb,to receive,"استقبلني في مكتبه.
istaʔbalni fī maktabo
He received me in his office.",/wiki/%D8%A7%D8%B3%D8%AA%D9%82%D8%A8%D9%84
146,استنّى,Verb,to wait,"خلّينا نستنّى نشوف شو بتحكي المسّ
ḵallīna nistanna nšūf šū btiḥki il-miss
Let's wait to see what the teacher says.",
147,استورد,Verb,to import,"منستورد بضاعتنا من الخارج.
mnistawradd bḍāʔatna min il-ḵārej
We import our goods from abroad.",/wiki/%D8%A7%D8%B3%D8%AA%D9%88%D8%B1%D8%AF
